ENSG00000223972.5	chr1:11869
ENSG00000227232.5	chr1:29570
ENSG00000278267.1	chr1:17436
ENSG00000243485.5	chr1:29554
ENSG00000284332.1	chr1:30366
ENSG00000237613.2	chr1:36081
ENSG00000268020.3	chr1:52473
ENSG00000240361.1	chr1:62948
ENSG00000186092.4	chr1:69091
ENSG00000238009.6	chr1:133723
ENSG00000239945.1	chr1:91105
ENSG00000233750.3	chr1:131025
ENSG00000268903.1	chr1:135895
ENSG00000269981.1	chr1:137965
ENSG00000239906.1	chr1:140339
ENSG00000241860.6	chr1:173862
ENSG00000222623.1	chr1:157887
ENSG00000241599.1	chr1:160446
ENSG00000279928.2	chr1:182696
ENSG00000279457.4	chr1:195411
ENSG00000273874.1	chr1:187958
ENSG00000228463.9	chr1:297502
ENSG00000241670.3	chr1:259024
ENSG00000236679.2	chr1:348366
ENSG00000236743.1	chr1:359681
ENSG00000236601.2	chr1:358857
ENSG00000237094.11	chr1:501617
ENSG00000269732.1	chr1:439870
ENSG00000278566.1	chr1:451678
ENSG00000224813.3	chr1:485208
ENSG00000233653.3	chr1:487101
ENSG00000250575.1	chr1:493241
ENSG00000278757.1	chr1:516479
ENSG00000230021.8	chr1:827796
ENSG00000235146.2	chr1:587629
ENSG00000225972.1	chr1:629062
ENSG00000225630.1	chr1:629640
ENSG00000237973.1	chr1:631074
ENSG00000278791.1	chr1:632413
ENSG00000229344.1	chr1:632757
ENSG00000240409.1	chr1:633535
ENSG00000248527.1	chr1:633696
ENSG00000198744.5	chr1:634376
ENSG00000268663.1	chr1:674842
ENSG00000273547.1	chr1:686654
ENSG00000283574.1	chr1:720206
ENSG00000229376.3	chr1:722092
ENSG00000228327.3	chr1:778626
ENSG00000223181.1	chr1:758336
ENSG00000229905.1	chr1:760911
ENSG00000237491.8	chr1:778770
ENSG00000230092.7	chr1:817712
ENSG00000177757.2	chr1:817371
ENSG00000228794.8	chr1:825138
ENSG00000225880.5	chr1:827522
ENSG00000230368.2	chr1:876903
ENSG00000234711.1	chr1:873292
ENSG00000283040.1	chr1:877234
ENSG00000272438.1	chr1:904834
ENSG00000230699.2	chr1:911435
ENSG00000241180.1	chr1:914171
ENSG00000223764.2	chr1:921016
ENSG00000187634.11	chr1:923928
ENSG00000188976.10	chr1:959309
ENSG00000187961.13	chr1:960587
ENSG00000187583.10	chr1:966497
ENSG00000187642.9	chr1:982093
ENSG00000272512.1	chr1:998051
ENSG00000188290.10	chr1:1000172
ENSG00000187608.8	chr1:1001138
ENSG00000231702.2	chr1:1008229
ENSG00000224969.1	chr1:1013193
ENSG00000188157.14	chr1:1020123
ENSG00000242590.1	chr1:1055033
ENSG00000217801.9	chr1:1059734
ENSG00000273443.1	chr1:1063288
ENSG00000237330.2	chr1:1074307
ENSG00000131591.17	chr1:1116361
ENSG00000223823.1	chr1:1137017
ENSG00000207730.3	chr1:1167104
ENSG00000207607.3	chr1:1167863
ENSG00000198976.1	chr1:1169005
ENSG00000272141.1	chr1:1169357
ENSG00000205231.1	chr1:1179555
ENSG00000162571.13	chr1:1173884
ENSG00000186891.13	chr1:1206691
ENSG00000186827.10	chr1:1214138
ENSG00000078808.16	chr1:1232031
ENSG00000176022.4	chr1:1232265
ENSG00000184163.3	chr1:1246722
ENSG00000260179.1	chr1:1251334
ENSG00000160087.20	chr1:1273885
ENSG00000230415.1	chr1:1275223
ENSG00000162572.20	chr1:1280436
ENSG00000131584.18	chr1:1309609
ENSG00000278073.1	chr1:1296170
ENSG00000169972.11	chr1:1308567
ENSG00000127054.20	chr1:1324691
ENSG00000283712.1	chr1:1312566
ENSG00000240731.1	chr1:1318689
ENSG00000224051.6	chr1:1324756
ENSG00000169962.4	chr1:1331314
ENSG00000107404.19	chr1:1349350
ENSG00000284372.1	chr1:1339708
ENSG00000162576.16	chr1:1361777
ENSG00000175756.13	chr1:1375495
ENSG00000223663.2	chr1:1378666
ENSG00000221978.11	chr1:1399328
ENSG00000224870.6	chr1:1399522
ENSG00000242485.5	chr1:1407313
ENSG00000264293.2	chr1:1405752
ENSG00000272455.1	chr1:1409096
ENSG00000235098.8	chr1:1421769
ENSG00000225905.1	chr1:1420245
ENSG00000205116.3	chr1:1426128
ENSG00000225285.1	chr1:1434573
ENSG00000179403.11	chr1:1434861
ENSG00000215915.9	chr1:1449689
ENSG00000160072.19	chr1:1471769
ENSG00000197785.13	chr1:1512151
ENSG00000205090.8	chr1:1540453
ENSG00000160075.11	chr1:1574869
ENSG00000215014.4	chr1:1574975
ENSG00000274481.1	chr1:1583909
ENSG00000228594.3	chr1:1600096
ENSG00000272106.1	chr1:1615795
ENSG00000197530.12	chr1:1615415
ENSG00000189409.13	chr1:1632095
ENSG00000248333.8	chr1:1659012
ENSG00000272004.1	chr1:1659325
ENSG00000189339.11	chr1:1692728
ENSG00000269737.2	chr1:1671990
ENSG00000215914.4	chr1:1699942
ENSG00000008128.22	chr1:1724324
ENSG00000268575.1	chr1:1737688
ENSG00000227775.3	chr1:1724512
ENSG00000215790.6	chr1:1745992
ENSG00000008130.15	chr1:1780457
ENSG00000078369.17	chr1:1891117
ENSG00000231050.1	chr1:1891471
ENSG00000169885.9	chr1:1914827
ENSG00000178821.12	chr1:1919273
ENSG00000142609.17	chr1:2003837
ENSG00000233542.1	chr1:2015530
ENSG00000187730.8	chr1:2019298
ENSG00000226969.1	chr1:2050070
ENSG00000067606.16	chr1:2050470
ENSG00000271806.1	chr1:2145279
ENSG00000182873.5	chr1:2184389
ENSG00000162585.16	chr1:2212720
ENSG00000234396.3	chr1:2212523
ENSG00000157933.9	chr1:2228695
ENSG00000116151.13	chr1:2391707
ENSG00000272161.1	chr1:2326693
